Stock,2009-04-01,2012-04-02,2015-04-01,2018-04-02,2021-04-01,2024-04-01
banarisug.csv,669.65,601.95,849.85,1705.7,1640.0,2365.75
bancoindia.csv,9.6,31.9,53.4,111.1,73.8,302.2
bandhanbnk.csv,,,,475.7,350.9,187.85
bang.csv,72.95,15.95,6.35,29.35,27.55,46.85
banka.csv,,,,,62.7,97.95
bankbaroda.csv,46.5,159.0,168.9,141.9,75.6,266.75
bankbees.csv,419.38,1031.79,1859.78,2459.55,341.52,485.1
bankbetf.csv,,,,,,47.48
banketf.csv,,,,,,476.14
banketfadd.csv,,,,,,47.84
bankietf.csv,,,,,335.85,48.0
bankindia.csv,220.3,367.0,205.75,104.65,69.9,140.85
banknifty1.csv,,,184.52,248.74,344.84,485.02
bankpsu.csv,,,,,,
bansalwire.csv,,,,,,
banswras.csv,8.65,35.6,31.95,51.8,53.0,150.1
barbeque.csv,,,,,,521.95
barflex_sme.csv,,,,,,
basf.csv,183.95,513.2,1124.65,1947.35,2136.9,3551.45
basilic_sme.csv,,,,,,376.35
basml.csv,15.9,28.25,95.8,121.0,62.25,44.4
bataindia.csv,56.65,404.05,547.35,753.65,1425.05,1369.2
baweja_sme.csv,,,,,,105.25
bayercrop.csv,,791.45,3304.55,4344.65,5313.1,5543.0
bbetf0432.csv,,,,,,1139.94
bbl.csv,224.7,298.65,314.9,755.65,562.35,3174.5
bbnpnbetf.csv,,,,,,
bbnppgold.csv,,,,,,68.1
bbox.csv,,36.25,18.6,21.05,271.1,235.1
bbtc.csv,28.6,116.95,449.15,1238.0,1145.45,1608.85
bbtcl.csv,,,,,80.0,266.15
bcg.csv,,,,2.3,3.9,15.2
bclind.csv,,,,,10.65,59.85
bconcepts.csv,,,,51.0,31.3,704.55
bdl.csv,,,,196.1,168.95,886.95
beacon_sme.csv,,,,,,
beardsell.csv,,6.4,,50.95,9.9,36.95
bectorfood.csv,,,,,345.4,1119.8
bedmutha.csv,,18.25,17.95,18.55,21.0,213.25
bel.csv,9.05,15.4,35.3,48.25,42.05,211.1
beml.csv,424.15,621.55,1139.2,1083.15,1319.55,3236.2
bepl.csv,6.5,15.05,14.85,119.4,101.95,93.55
bergepaint.csv,10.45,32.05,128.1,218.6,636.95,566.45
bestagro.csv,,,,,429.7,
beta_sme.csv,,,,125.15,123.0,1270.0
bewltd_sme.csv,,,,,,395.9
bfinvest.csv,,45.4,172.7,287.85,280.3,545.85
bfsi.csv,,,,,,21.55
bfutilitie.csv,318.05,408.9,736.05,392.2,256.8,818.1
bglobal.csv,,7.3,3.05,4.3,,4.1
bgrenergy.csv,153.35,348.8,122.3,104.6,45.25,36.5
bhagchem.csv,,,,,,163.75
bhageria.csv,,,,143.45,158.6,152.5
bhagyangr.csv,,,,43.85,44.5,98.1
bhandari.csv,,,,2.95,2.35,7.75
bharatforg.csv,50.1,157.4,661.3,721.0,613.35,1148.6
bharatgear.csv,11.2,46.4,50.6,117.45,50.65,108.15
bharatras.csv,39.65,120.1,821.4,4474.5,9442.2,8618.25
bharatwire.csv,,,,116.35,35.95,288.95
